No.;ID Distrik;Tanggal kejadian;Distrik;Propinsi;Latitude dan Longitude
100;3573;10/04/2021;KOTA MALANG;JAWA TIMUR;0
101;3505;10/04/2021;BLITAR;JAWA TIMUR;0
102;3511;10/04/2021;BONDOWOSO;JAWA TIMUR;0
103;3513;10/04/2021;PROBOLINGGO;JAWA TIMUR;0
104;3503;10/04/2021;TRENGGALEK;JAWA TIMUR;0
105;3508;10/04/2021;LUMAJANG;JAWA TIMUR;0
106;3510;10/04/2021;BANYUWANGI;JAWA TIMUR;0
107;3507;10/04/2021;MALANG;JAWA TIMUR;0
108;3506;10/04/2021;KEDIRI;JAWA TIMUR;0
109;3571;10/04/2021;KOTA KEDIRI;JAWA TIMUR;0
110;3572;10/04/2021;KOTA BLITAR;JAWA TIMUR;0
111;3509;10/04/2021;JEMBER;JAWA TIMUR;0
112;3504;10/04/2021;TULUNGAGUNG;JAWA TIMUR;0
113;3579;10/04/2021;KOTA BATU;JAWA TIMUR;0
114;3501;10/04/2021;PACITAN;JAWA TIMUR;0
115;3514;10/04/2021;PASURUAN;JAWA TIMUR;0
116;1301;05/03/2021;KEPULAUAN MENTAWAI;SUMATERA BARAT;Lintang : 1.76 LS Bujur : 99.14 BT
117;8204;26/02/2021;HALMAHERA SELATAN;MALUKU UTARA;Lintang : 0.54 LS Bujur : 127.51 BT
118;8105;31/01/2021;KEPULAUAN ARU;MALUKU;Lintang : 5.48 LS Bujur : 133.62 BT 
119;7104;21/01/2021;KEPULAUAN TALAUD;SULAWESI UTARA;Lintang : 4.98 LU Bujur : 127.38 BT
120;7601;15/01/2021;MAJENE;SULAWESI BARAT;Lintang : 2.99 LS Bujur : 118.89 BT
121;7603;15/01/2021;MAMASA;SULAWESI BARAT;Lintang : 2.99 LS Bujur : 118.89 BT
122;7602;15/01/2021;POLEWALI MANDAR;SULAWESI BARAT;Lintang : 2.99 LS Bujur : 118.89 BT
123;7604;15/01/2021;MAMUJU;SULAWESI BARAT;Lintang : 2.99 LS Bujur : 118.89 BT
124;7606;14/01/2021;MAMUJU TENGAH;SULAWESI BARAT;0
125;7606;14/01/2021;MAMUJU TENGAH;SULAWESI BARAT;0
126;7606;14/01/2021;MAMUJU TENGAH;SULAWESI BARAT;0
127;3208;11/12/2020;KUNINGAN;JAWA BARAT;Lintang : 7.07 LS Bujur : 108.87 BT
128;3203;03/11/2020;CIANJUR;JAWA BARAT;0
129;7606;28/10/2020;MAMUJU TENGAH;SULAWESI BARAT;Lintang : 2.24 LS Bujur : 119.22 BT
130;3207;25/10/2020;CIAMIS;JAWA BARAT;0
131;3279;25/10/2020;KOTA BANJAR;JAWA BARAT;0
132;3205;25/10/2020;GARUT;JAWA BARAT;0
