Tahun,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Latitude,Longitude,Kota
2021,0,1,0,0,0,0,0,0,0,0,0,0,-7.77839,112.84776,Jombang
2021,0,1,0,0,0,0,0,0,0,0,0,0,-8.89304,113.92982,Jember
2021,0,1,0,0,0,0,0,0,0,0,0,0,-7.77616,112.94222,Pasuruan
2021,0,1,0,0,0,0,0,0,0,0,0,0,-7.97348,111.93798,Ponorogo
2021,0,1,0,0,0,0,0,0,0,0,0,0,-7.66477,112.78902,Sidoarjo
2021,0,1,0,0,0,0,0,0,0,0,0,0,-7.53659,111.88411,Bojonegoro
2021,0,1,0,0,0,0,0,0,0,0,0,0,-7.97365,113.87796,Probolinggo
2021,0,1,0,0,0,0,0,0,0,0,0,0,-8.85036,113.70484,Lumajang
2021,0,1,0,0,0,0,0,0,0,0,0,0,-7.97049,114.53301,Situbondo
2021,0,0,1,0,0,0,0,0,0,0,0,0,-8.39349,114.72912,Banyuwangi
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.85026,111.67082,Madiun
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.98315,111.77338,Ponorogo
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.94932,111.81686,Bojonegoro
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.058203,113.261901,Sampang
2021,0,0,1,0,0,0,0,0,0,0,0,0,-6.99917,113.89537,Sumenep
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.66418,112.87934,Gresik
2021,0,0,1,0,0,0,0,0,0,0,0,0,-8.76227,113.71767,Lumajang
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.93494,111.89164,Madiun
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.94103,113.69122,Probolinggo
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.95729,111.87037,Bojonegoro
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.80894,112.90766,Pasuruan
2021,0,0,1,0,0,0,0,0,0,0,0,0,-8.49033,112.78449,Malang
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.24565,112.96318,Gresik
2021,0,0,1,0,0,0,0,0,0,0,0,0,-8.13733,112.92624,Malang
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.76429,112.45197,Jombang
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.82144,111.99899,Nganjuk
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.95697,112.88557,Pasuruan
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.80797,111.97705,Nganjuk
2021,0,0,1,0,0,0,0,0,0,0,0,0,-7.34213,112.63133,Gresik
2021,0,0,1,0,0,0,0,0,0,0,0,0,-8.65916,113.96257,Jember
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.17337,112.54575,Gresik
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.8324,112.94796,Pasuruan
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.98962,111.5525,Ponorogo
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.83725,111.71962,Ngawi
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.79934,111.88545,Madiun
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.66075,111.41425,Magetan
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.66075,111.41425,Magetan
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.89497,111.82507,Magetan
2021,0,0,0,1,0,0,0,0,0,0,0,0,-7.72423,111.78008,Ngawi
2021,0,0,0,0,1,0,0,0,0,0,0,0,-6.9594,111.896792,Tuban
2021,0,0,0,0,1,0,0,0,0,0,0,0,-7.82726,113.55841,Pamekasan
2021,0,0,0,0,0,1,0,0,0,0,0,0,-8.39269,114.53176,Banyuwangi
2021,0,0,0,0,0,1,0,0,0,0,0,0,-8.35231,114.37572,Banyuwangi
2021,0,0,0,0,0,1,0,0,0,0,0,0,-8.67874,114.11481,Banyuwangi
2021,0,0,0,0,0,1,0,0,0,0,0,0,-8.88819,112.7289,Blitar
2021,0,0,0,0,0,1,0,0,0,0,0,0,-7.7441,113.74103,Pamekasan
2021,0,0,0,0,0,1,0,0,0,0,0,0,-7.68096,112.53988,Jombang
2021,0,0,0,0,0,0,0,0,0,1,0,0,-5.84202,112.65767,Gresik
2021,0,0,0,0,0,0,0,0,0,0,1,0,-7.294002,112.462289,Gresik
